FileName_CName,Group,Alanine,Arginine,Asparagine,Glutamic acid,Glutamine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Threonine,Tryptophan,Tyrosine,Betaine,Valine,GABA,Choline,Taurine,Cytosine,Ornithine,4-hydroxyproline,Glyceric acid,Creatine,Creatinine,Spermidine,Allantoin,1-methylnicotineamide,Uric acid,Thymine,uracil,Phenyl sulfate,Indoxyl sulfate,Citrulline,Cytidine,Isocitric Acid,Citric Acid,Lactic Acid,kynurenine,Pantothenic acid,Prolyl-hydroxyproline,Glutamyl-leucine,5-methyluridine,gamma-glutamylglutamine,3-hydroxybuturate,2-hydroxybuturate,Uridine,Hexose,Deoxyhexose (1_5AG),Sugar acid,Hydroxycinnamic acid,Phenaceturic acid,Phenyllactic acid,Hydroxyphenyllactic acid,3-Indolepropionic acid ,3-Indolelactic acid ,Linoleic acid (18-2),Oleic acid (18-1),Palmitoleic acid (16-1),Docosahexaenoic acid (22-6),Eicosapentaenoic acid (20-5),Eicosatetraenoic acid (20-4),Linolenic acid (18-3),Arachidonic acid (20-4),Adrenic acid (22-4),HETE (hydroxyicosa-tetraenoic acid),HEPE (hydroxyicosa-pentaenoic acid),HODE (hydroxyoctadecadienoic acid),di-HODE (di-hydroxyoctadecadienoic acid 15_16),Di-HOME (Dihydroxyoctadec-12-enoate),Succinic acid,Adipic acid,Suberic acid,Azalaic acid,Sebacic acid,Dodecanedioic acid,Tetradecanedioic acid,Glutaconic acid,C14-1 diacid,C16-1 diacid,13-L-Hydroperoxylinoleic acid,C18-2 diacid,Hyodeoxycholic acid ,Deoxycholic acid ,Chenodeoxycholic acid ,Ursodeoxycholic acid,Cholic acid,Hyocholic acid,Muricholic acid,Ursocholic acid,Chenodeoxyglycocholic acid,Glycodeoxycholic acid,Glycoursodeoxycholic acid,Glycocholic acid,Glycoursocholic acid,Taurochenodeoxycholic acid,Taurodeoxycholic acid,Tauroursodeoxycholic acid,Taurocholic acid,Tauroursocholic acid,Lithcholic acid,Myristoyl-lyso-PC (14-0),Palmitoleoyl-lyso-PC (16-1),Palmitoyl-lyso PC (16-0),Linolenoyl-lyso-PC (18-3),Linoleoyl-lyso-PC (18-2),Oleoyl-lyso-PC (18-1),Stearoyl-lyso-PC (18-0),Arachidonoyl-lyso-PC (20-4),Arachidonoyl-lyso-PE (20-4),Linoleoyl-lyso-PE (18-2),Oleoyl-lyso-PE (18-1),Stearoyl-lyso-PE (18-0),Palmitoyl-lyso-PE (16-0),Arachidoyl-lyso-PC (20-3),Docosahexaenoyl-lyso-PC (22-6),Docosapentaenoyl-lyso-PC (22-5),Eicosadienoyl-lyso-PC (20-2),Heptadecanoyl-lysoPC (17-0),PC (34-2),PC (36-4),PC (36-5),PC (38-5),PC (38-7),PC (40-6),Lactosoceramide (d18-1 12-0),Sphingomyelin C16_0,S1P,Carnitine,Deoxycarnitine,Acetylcarnitine,Propionylcarnitine (C3),Isobutyryl carnitine (C4),Butyryl carnitine (C4),Isovaleryl carnitine (C5),Valeryl carnitine (C5),Hexanoyl carnitine (C6),Lauryl carnitine (C12),Tetradecanoyl carnitine (C14),Palmitoyl carnitine (C16),Oleoyl carnitine (C18-1),Linoleoyl carnitine (C18-2),Stearoyl carnitine (C18-0),glutaroyl carnitine,cortisone,corticosterone,DHC,Cholesterol,7-Dehydrocholesterol,Campesterol,Sitosterol
AIM084_Plasma_neg_013,Dark_control,6004107.132,1399472.832,22084.04328,2365205.524,606671.3686,358367.7544,23805168.91,46589308.07,1238484.902,8421588.604,20076347.18,35521092.78,726235.5817,18096394.87,11482999.7,11835888.9,27465913.54,420985.3536,30841825.25,1230436.844,3608929.343,1101352.171,374604.1666,815649.5409,8695427.038,651754.1438,184228.2327,458499.9244,7713.868831,815528.2616,56476.33707,50063.25493,1321821.681,2395009.552,1471900.765,614014.132,70571.19105,5772551.922,31578768.8,20385.06117,115708.4558,309499.8832,248896.5291,134868.259,112762.4944,2434451.423,581986.5871,656447.4986,20122530.82,41063.30711,1178751.617,6910.877203,53566.05142,32373.8181,145844.4442,527267.4432,128892.4338,64055.14506,12360.75648,2565.384762,726773.49,18044.73541,741965.744,3771.596836,741965.744,146262.7841,5484435.784,131348.7834,6025061.086,363509.0588,95005.68144,492307.028,563104.9232,1475441.506,15776238.66,1230862.043,153529.3545,33335.81157,361978.9933,24313.46539,24433.24409,366134.5784,180082.0552,44980.33578,2306.980439,2306.980439,10738.7541,258446.6315,23215.54057,23215.54057,57062.15984,5750.215156,2283.80156,31447.9834,398740.2185,25860.97735,120548.2188,36267.67912,197207.496,505421.0178,307398.4495,6065.573593,582220.5242,1227455.786,106454386.3,9647259.192,29339752.85,22262218.02,109292540.6,3252354.894,35945.16348,169574.4808,230785.8473,3014215.728,556906.7923,15004378.46,2093658.652,402262.3742,1396957.349,2873918.969,14225983.71,10374679.38,2996122.003,370054.5501,378514.1325,500562.3287,178792.7397,434461.3468,667673.4422,3662495.116,191831.5539,638204.9359,144437.606,37088.607,269826.1178,59411.22407,47896.25392,0,7558.344619,14860.49686,81046.45137,36498.75667,9818.552879,65.26338501,228449.9456,5039.68508,5952.535186,26467.69478,35392.48135,5265.985885,73418.17299,82072.34565
AIM084_Plasma_neg_014,Dark_control,5930736.779,1419527.021,20312.2903,2448440.047,655715.401,357311.1481,24020802.92,47196428.58,1252018.871,8420759.756,20227386.37,35649092.49,750877.7607,18568147.32,11633719.22,11834558.07,26101909.79,395273.2134,31560144.67,1212901.438,3547001.767,1228592.521,341460.8547,831924.0695,8540262.827,666289.1103,186559.8554,475194.1108,5122.111198,803269.9044,57304.47703,62822.90196,1313064.885,2413025.357,1530521.25,586984.2511,66640.94938,5998953.594,31973897.4,20634.92102,506112.2578,294364.4394,243834.9565,131610.3648,114156.2269,2479216.177,587767.0007,677323.7834,20103836.69,41712.86551,1216730.239,6230.314708,54220.64975,33560.38954,144076.141,523037.0444,130576.6851,62065.62957,12440.64761,2140.03396,765324.5527,18259.68876,776424.931,3446.232563,21083.74836,142554.2143,5425115.071,134431.3787,5947341.796,365628.2057,94274.97413,501014.4767,569972.787,1495515.307,15912563.33,1224796.744,152009.0602,33377.8323,385750.7652,26021.11121,24022.19134,368302.6197,180192.5068,45816.11841,11382.53197,4047.186518,0,256444.6408,20972.79668,47934.96435,58192.08909,5097.534756,1915.051927,32691.64357,394599.119,26504.18981,125632.9661,37156.12692,204836.4627,498003.4958,316128.9962,7076.968033,595177.8603,1193796.497,105543974.6,9204272.521,28398435.52,22187919.75,110644092.2,3219753.618,30175.85554,169564.5793,224020.6576,2861898.795,552294.158,15030621.44,2121511.412,386881.2453,1415918.861,2839513.546,26350105,8951199.3,4829575.853,368561.2959,249618.4271,535696.0802,156507.3848,388952.4954,678656.068,3726093.147,187525.8988,630009.3087,143554.4137,36685.39218,282822.6169,61122.78572,49025.28127,0,7104.527161,20784.56811,79151.08597,38134.3273,10498.66553,132.2405409,222526.5427,3447.668937,6795.370225,27886.43855,43758.27054,5827.200329,0,0
AIM084_Plasma_neg_022,Dark_control,5547161.073,593021.8806,10006.9556,1985521.586,631178.3499,355907.4887,25044533.38,51080064.5,1355874.941,10319362.35,20946552.54,36820256.7,670142.1241,13035723.02,14628161.04,13487778.26,26759227.11,358886.1461,32439038.18,1294231.979,3857969.237,1408174.435,271574.0576,1092629.196,7092609.177,594565.4757,157378.6267,499177.0967,17203.16499,110620.2636,52890.90278,53049.22456,1465814.343,2078033.4,1616227.687,691896.1859,952910.6489,6001714.691,25344592.3,24402.50748,85552.48818,329226.9585,269433.9411,170032.2005,203247.5556,2446943.046,432425.6813,538516.9516,20577540.89,50527.6113,1567647.172,7025.056657,84891.77371,41781.83322,211776.4303,264892.0868,60523.87519,72272.90204,12233.77104,6244.516766,895069.8308,14798.02157,728409.4235,2759.00852,21253.97039,136862.3051,3653796.37,60632.65631,2876639.034,345316.6879,94113.02815,572097.8957,540569.4595,1428774.341,15293068.07,1202168.369,149627.1129,32579.24167,384070.3747,30878.13416,25865.5216,347995.3084,409543.1922,315874.0295,9372.451273,1626.370684,64104.36264,2417021.361,152546.6229,506827.6433,562449.704,6993.838783,6267.458307,26492.25935,132670.1365,20186.3074,113562.699,82649.23511,384470.2946,845705.5343,387772.4318,3990.610452,507420.6615,1080195.762,93637049.75,8942870.942,31205019.92,23044751.12,101561799.6,3586427.27,18878.66231,91364.59385,157069.8366,2445931.754,227881.7299,13427104.51,2634933.473,500447.5114,1852159.544,2945209.814,18545837.27,11087331.14,3178120.823,1419653.513,202924.2523,868155.189,134544.2258,405510.3658,736221.0837,3069215.468,269767.7076,406711.6541,140323.8341,33058.09813,287263.6805,61400.07306,44267.40051,0,6952.707897,15935.95668,70759.22662,39722.76811,10979.49505,119.5525042,260359.3914,6367.920718,2735.761196,7116.137027,971666.7528,12659.04656,64882.0358,78213.31257
AIM084_Plasma_neg_029,Dark_control,6061348.337,3254307.742,21820.73103,1963428.876,772446.5074,330658.2032,23093749.23,46840062.1,1530747.009,8089565.896,18901715.94,35493212.7,674931.1771,12449415.95,12842857.49,11527245.55,24688323.17,435567.6149,34884373.76,605561.5161,3115802.633,922837.1398,340489.937,927055.6136,7052007.374,796381.2645,198764.2429,587375.6631,6281.93676,4640.26759,45201.32209,79382.17299,1478914.494,2413740.519,1633537.544,490841.744,1418506.271,5564091.927,27385602.15,27720.74633,63843.72629,175721.4002,299236.6129,122233.3026,468882.4512,2228081.385,490564.4067,491865.6178,22195503.07,78462.79171,1299058.992,7015.891255,44693.57359,50519.1302,192677.9648,357733.2885,67694.52276,78236.92706,15556.54267,1400.591698,850419.2111,13112.52153,680920.4247,5070.377239,17364.57229,148268.1327,2630146.491,55022.80165,4400270.169,351730.2114,114267.6794,408106.861,628795.3227,1622853.751,16964063.03,1307677.848,163258.2294,28676.08883,352671.5691,25329.16323,21221.47099,354655.0227,517247.9469,58258.45846,410.1918457,47.64334106,10936.56239,11783.3117,0,79494.19103,58423.16972,1655.993174,787.7287129,4261.098646,40757.25267,10902.38465,161714.5413,99004.86594,571818.2639,878916.32,980149.262,2884.243639,235436.526,346551.7122,78433683.99,15296066.35,18173286.68,12349841.08,95304089.7,1730410.373,15412.31374,56256.1752,90667.52441,1596096.477,176014.4315,24991935.86,1422723.185,247815.1996,1082555.842,2341586.65,17022.82966,0,38430.14601,5943.79232,5831.914434,13186.69705,3928.86381,0,544678.5866,4630669.172,313771.3345,693490.3191,128392.3372,23940.11152,175439.9725,55908.57137,35196.45105,56.02849731,4250.722327,9564.316523,45914.11675,27341.99657,6111.035486,13784.39386,124894.3055,26284.97127,6632.44258,3492.315766,563451.4388,8746.964619,674.8009966,0
AIM084_Plasma_neg_037,Dark_control,6405446.101,6944113.138,60449.89897,2790796.514,781781.7736,753494.6687,35657559.69,74808509.43,2721194.072,15655253.84,29953577.65,39679713.25,821033.7666,19244573.84,16955601.5,13663396.72,36441373.58,574604.4408,36437917.01,1534132.814,3408111.099,1370122.004,607403.482,965316.7434,8100481.934,768799.5847,328603.321,574288.5591,20900.97961,828083.6272,49337.94057,74245.40707,1661171.659,3499092.105,2136056.76,495905.0666,377803.0895,6347069.997,29206275.84,136144.8293,291877.6777,238724.5711,327959.0226,216739.6666,389619.0115,2283563.547,556500.4432,837026.445,21938501.22,71895.98892,1381319.283,10206.83002,114668.8641,40205.29734,177580.4213,271294.6238,121388.0451,89605.01448,22551.78347,2789.007584,1222875.454,13112.32805,937938.2096,4872.36612,937938.2096,149138.6582,5309683.194,69119.83821,2240024.661,392775.4953,130998.7634,454524.2662,611700.4341,1607001.91,16637040.5,1284476.464,149344.4281,27115.14229,434286.2966,18909.71802,19413.58456,395737.435,278367.2077,566259.0696,33806.39944,2903.681596,119407.7772,2711930.715,96300.41228,748001.9895,623267.5049,6593.007061,1082.564845,27221.32248,96899.44855,17712.07396,262317.6674,46310.01294,553740.6796,2194758.445,890911.9636,5982.313462,320868.4559,649577.8373,91630379.65,16580161.12,20397361.1,17075252.39,105638285.9,2365974.716,17524.93935,113652.9262,213429.7439,3267116.678,413688.95,26385439.42,1741298.576,243939.3925,1184272.813,2461095.904,192537.7417,4064047.761,71086.64759,1551686.717,595170.1003,189877.0356,99796.35996,704265.1122,683847.903,2885787.959,235053.7336,579147.2495,91062.96093,27289.07474,119204.1973,41467.06642,32600.64284,0,5296.524152,14924.30103,49259.30173,33571.69023,3640.161435,12200.42488,176629.272,30837.14006,2860.090249,2781.19068,473847.954,3554.181444,34994.17325,40578.66461
AIM084_Plasma_neg_044,Dark_control,5967767.407,4249086.469,25162.83459,1926371.369,836282.5608,352545.273,23728839.12,47459961.59,1863512.067,7485181.155,19392837.61,35948612.13,603446.2943,11482574.79,12487105.05,12984566.78,25539873.91,321086.6875,33401926.06,1311368.692,2955265.827,702298.7226,418062.7114,918503.3005,9040506.741,1063524.919,251764.0068,717026.943,16727.41445,205228.328,45186.43018,89504.00493,761619.8656,1523891.747,1785235.357,426359.7636,289952.3005,4912478.125,21409271.07,35028.45017,654151.8461,237214.5694,245201.6968,131050.3014,439706.8215,1076348.26,351861.4713,480832.3999,26241453.41,75726.95779,2264577.488,8237.1562,56083.84068,27766.09885,277024.0902,208357.9622,137562.2403,85814.20052,20259.33134,1815.93734,835769.4195,18813.53738,715954.2783,8431.313263,15025.05122,159505.6524,2346557.033,73289.08431,5030230.424,280090.9474,49095.9877,749372.0914,613421.1745,1591808.524,16864225.43,1264819.478,157697.9909,25613.20702,343505.2952,28947.63907,21030.67418,282357.3427,422888.2146,3250.676378,828.4450059,828.4450059,828.4450059,77589.7909,20377.80605,12548.46403,107237.3923,0,1717.558754,0,73480.01647,21342.79221,144636.1075,27154.26733,66875.86768,1356501.572,1489264.355,2694.973249,829733.8017,985786.9006,93620500.27,16629458.67,32979952.9,19578615.86,96583325.25,3706781.291,34210.06844,186607.0247,205596.9041,2244561.836,358287.5103,24012156.81,2127131.718,447861.2445,1823118.577,2558374.757,11456639.41,6751275.326,3505332.557,1098408.648,393557.2236,477943.8096,205473.0208,526362.9469,694626.6162,4730615.205,371223.6839,728274.9915,89959.2053,18777.7032,96427.34271,49299.58359,25987.2222,0,5163.308959,10341.10991,61012.61835,33542.65015,7088.072729,19663.92577,168560.1806,25557.88195,4703.275951,7996.573557,510925.3304,8722.41659,49544.73339,61635.44795
AIM084_Plasma_neg_015,Fast_02h,3548277.893,2852450.172,16852.63366,2680674.371,466424.8764,408331.0269,22976722.42,45971363.89,1825777.929,10030779.72,21321493.7,24689089.47,519267.8331,17970234.88,11747109.27,6608423.6,25634069.36,272028.7116,30123076.46,1106237.789,3391345.911,1286743.73,246735.1961,905506.6358,6106013.724,715761.0849,240273.9311,412831.4352,0,1291161.405,52791.44937,63729.80199,1320278.798,2358805.653,1070994.219,1045727.878,335569.2031,5832482.593,32766571.92,226784.7319,135090.6737,178786.9292,170584.084,130424.9089,75230.32193,2786139.668,642322.8482,764665.2573,13031698.72,56610.18477,838577.8404,6383.635468,51077.59522,25788.5701,193264.6774,393727.1331,59835.02392,58129.85874,13514.70634,1748.41987,840165.9328,12341.33658,662926.8309,6486.385296,16959.80774,150911.5555,11272760.03,268962.2887,296112.7456,473958.2145,110290.106,608421.302,508028.4633,1383116.789,14742486.03,1141462.27,141197.9791,34137.13752,357582.0624,22510.08222,28121.39326,476940.3134,32128.90932,151063.0374,1657.463425,1657.463425,30117.51449,20240.26888,66876.30883,6817.154889,105532.4865,1068.295058,860.6544089,9768.584436,33400.09648,7965.792411,125136.6945,74201.75084,856070.0966,651535.6352,677408.8034,16785.98264,369811.3675,397892.3229,64585928.76,7505365.063,17785517.14,12631617.5,77153829.57,2557672.105,15014.86382,38511.91096,79939.0636,1087106.665,108886.3401,12212501.71,2298431.193,494814.6091,1686227.816,1883999.116,27705983.96,1552840.594,4802020.783,604793.8857,12620.64948,539902.7044,114626.4256,69529.71478,720723.4658,3261393.314,247194.8605,247150.478,122814.8211,32908.16284,113715.433,73247.41153,32892.66211,7837.06087,18983.17688,36246.50734,151749.0454,110878.2845,41705.18105,547.8529547,134046.4294,3457.699217,9792.935002,27650.50844,760872.2494,3786.229787,1183.59075,0
AIM084_Plasma_neg_023,Fast_02h,4609388.919,1101773.326,10570.77316,2814406.81,532785.6939,344623.7315,22167331.79,40626320.49,1831503.668,8836195.405,19442807.12,26730521.31,511065.133,14090792.35,10857781.63,10240902.7,23444112,259072.0532,30178935.3,1198948.145,3323267.848,1179472.422,467288.5673,836790.1815,6699131.644,532442.0519,173548.0859,419696.3113,6582.360191,2726989.764,36746.88072,130229.392,1164507.405,1997975.72,1444882.322,1352956.859,47253.05436,5598924.715,38355967.83,118189.692,803027.2421,182323.822,275489.8544,167085.7284,205763.7406,3295618.386,571095.235,1045998.753,16683511.5,45116.55572,1003947.096,6692.722102,70759.42845,56346.83156,117109.2714,420166.8331,72066.69124,40517.62747,8543.454063,666.3622124,709642.3487,10885.42241,674189.4338,6939.947381,31671.50881,157928.2987,1904786.103,39431.1756,1734191.17,305038.0665,55695.31454,2247915.215,480535.2789,1226506.359,13089778.93,987450.4947,117547.5329,25704.31617,302877.9919,14886.06877,17820.21547,307535.1435,26514.69579,26397.65213,2856.300242,0,0,3571.988647,0,20337.7127,17028.71246,753.9835585,320.7183413,0,17151.60007,4028.494101,112140.0017,41767.88137,286159.563,461960.1325,475895.7731,0,303750.8381,387097.3748,59087358.35,6945759.862,20293390.8,11424565.42,87269118,2669166.326,23949.26307,62270.32461,75475.21313,1073272.58,121478.1575,12498822.76,3007349.712,421748.2829,1050272.338,1972355.995,17207819.66,19471978.14,2585861.856,1105667.801,323070.7739,1007613.313,148727.8296,405576.4102,663551.3424,3440173.841,286859.9452,583900.6413,248560.463,55513.1568,590747.7835,82150.34308,52658.77942,8163.951055,9251.372082,23359.86721,118194.9339,90623.61697,35328.92276,0,156590.4997,4203.725296,2110.843008,31903.12289,1125501.612,6165.424095,66312.24001,86395.29537
AIM084_Plasma_neg_030,Fast_02h,161534.6633,23908.90758,7813.540846,2133763.154,559107.6146,249091.2917,72142.50988,130781.871,37117.09323,15994.4204,40365.59154,168462.0274,456141.3357,27064.13062,24043.79173,346556.6819,336775.7823,122326.1183,290658.0612,995948.6045,6057.537895,27782.02059,18257.48605,801082.2553,15200.88417,3381.843189,0,1835.361307,94.32158813,830.9988288,8508.719375,8528.774947,1221514.809,2496006.616,9491.670071,0,42894.09133,4867718.328,31362024.98,0,171820.2906,0,0,0,0,1838346.735,305388.2928,516491.0262,318382.117,2402.580099,652831.1351,5851.898456,43230.71759,26357.02105,135843.4698,0,78474.24273,53843.14755,9161.838242,1508.445612,161719.6007,9182.484129,662187.4995,6840.94442,14888.29782,142560.5526,4673230.094,83079.83252,1520707.535,334345.52,82802.4152,524923.0993,486021.8066,1285820.579,13567836.9,1023228.933,120805.6847,23700.1182,286549.5278,16263.74388,16950.07498,337284.0645,30262.56328,57804.05341,6926.396375,1009.023723,0,4914.589876,0,24342.23195,23487.75542,677.2342403,77.0302124,1880.577009,22584.54303,3805.247491,98096.64029,63318.49828,320787.4601,787247.8811,506761.3633,4967.513304,0,0,78650.23092,13833.06509,12495.3284,11702.39307,229046.345,9817.989821,3137.065359,70.7697998,1481.579759,17045.83048,2234.650585,59233.78609,753.121578,0,52.41956177,1493.797344,101567.1981,0,62941.03453,21193.98137,65954.59267,5219.24863,6151.95679,0,646109.3944,22140.97433,818.5931807,0,24337.09402,1548.694976,1548.694976,14706.02463,14145.22741,69.48356323,0,0,0,0,0,46.59346619,0,28055.34089,1522.111713,2315.830033,553627.6972,1993.021267,62014.10304,51122.21796
AIM084_Plasma_neg_038,Fast_02h,5749316.876,1689597.828,8226.015014,2125240.463,547609.8886,264660.1924,20611749.81,40401239.32,1930442.506,8282972.308,17598780.18,26418715.02,443539.3058,10914025.64,9853397.314,12271287.84,20520956.14,392506.7022,28159535.48,1347801.603,2507565.121,1355992.761,424467.6032,933997.3051,6692160.849,574084.9516,202571.6134,445647.4751,56.12277832,2354888.389,22438.36317,93473.52459,1237352.284,2281750.781,1655606.211,831973.6401,843846.7735,4908105.917,42056922.95,516707.8374,558706.1091,176625.1299,153441.2732,151896.227,131569.4622,2968798.983,475491.6254,909028.097,15938224.28,86250.4185,1485249.92,6305.144404,80141.92316,42297.20322,117810.7455,280602.9688,44295.26548,39815.62854,6264.888002,0,454313.2786,8493.92062,465081.4832,6849.782846,25695.37902,160628.5414,2643048.541,36043.06891,1112963.362,237451.1937,57457.17634,1443183.966,589943.5435,1519255.408,15857880.27,1236164.875,146110.4173,24399.59316,291449.4822,14967.99842,14940.53565,239743.5124,26334.92058,24394.29701,1560.114877,1560.114877,0,6726.964639,0,0,0,489.0906954,180.4218357,5026.376688,61607.09986,5949.425531,58440.32157,42240.23398,171817.7907,319017.8641,210394.8101,2256.708934,253491.3437,289040.2158,40863303.08,9693244.978,12829903.25,7360054.046,39834323.38,1424818.97,10832.57888,43783.01995,84090.24477,872153.4663,105620.8438,13008546.09,1094440.789,208751.9597,1064546.26,1118604.121,8466203.811,4584477.018,1957577.892,380800.2253,447828.1541,114388.8255,138617.2946,604756.0223,575739.9437,3156697.243,206255.7402,420101.9835,154910.6241,37783.22524,403933.7467,45598.75981,33475.32816,8451.517214,3140.619115,8239.600419,50854.99222,51091.16974,30367.92829,8143.720434,98356.45693,28884.56428,1283.981505,2624.81388,604397.1996,1505.380929,31052.5771,40517.00843
AIM084_Plasma_neg_045,Fast_02h,4350079.424,423028.5416,9666.784826,2155168.058,592150.0335,232528.7813,23239412.31,39716781.92,1571211.933,8105654.823,19706972.58,21222818.27,357954.6242,13458495.42,13175047.22,10827362.08,22546609.48,348847.166,30091659.26,1230175.7,2698683.269,1678145.423,261397.2462,783292.095,10063155.68,543744.8471,365630.2588,525392.1884,10623.01446,1604245.668,26322.64209,102122.9355,652455.4633,2398152.18,1334300.278,857272.7859,217508.6558,4303945.656,31627146.12,442500.6786,689747.6867,81338.24668,153958.5235,87580.89813,169565.3197,2358761.553,420276.9455,887876.9548,14048638.59,121193.8393,690375.6716,7835.419915,79461.59588,23655.75089,132811.7659,279399.4479,86668.59158,54997.71212,13925.86947,9320.747798,836996.3042,17458.88631,705773.6453,8864.96038,705773.6453,151679.977,4361324.073,91779.98533,1379110.94,484732.4558,32952.26973,696310.5761,423214.0579,1144010.093,12254404.47,744280.7011,116298.7288,29516.93034,226458.4306,18084.21922,22601.40469,487727.7312,28959.83217,685239.7252,1617.603901,1617.603901,141248.4197,3207266.719,268395.5924,320012.8437,446200.0572,21833.96306,129126.8302,143352.9164,870886.1885,66432.93466,38683.33382,127728.1985,195859.6179,852541.8681,140148.3354,4141.101527,329090.7975,465743.6477,62962224.56,12958169.98,15789846.44,12225230.46,77920739.33,2889178.778,27337.75688,62109.93657,158033.5745,2051088.575,245777.9558,21220972.68,1828897.196,333071.9684,1670035.584,2060671.192,0,0,35777.37754,8508.980728,96.96101074,78.02720947,0,0,619798.0411,3050323.659,280595.3081,365224.0828,126637.0602,16676.65442,82207.51481,44438.86679,25743.2782,2854.15972,8610.430175,18266.02971,83376.13654,101541.0826,24120.61623,13545.99114,68050.04334,29776.64908,350.239499,3415.330324,55341.18795,1111.35766,325.541742,0
AIM084_Plasma_neg_016,Fast_04h,4017037.795,1494418.5,10134.79535,2592945.111,435856.0261,324848.5287,26449623.7,42324480.13,2408161.609,8547608.346,22394956.25,20945007.87,586564.3396,13707657.12,12852849.61,9639065.425,26267961.62,391066.2997,30481779.83,1456553.199,3475317.109,1411402.756,220598.6257,1008459.501,8320257.717,539038.4025,219629.2305,509032.1842,16411.89343,1782982.286,35392.6717,96461.60227,1198240.548,1504121.945,1501277.828,1299196.164,301727.5229,5975714.286,34307573.67,88745.41955,531393.4071,170028.7217,156332.6756,115236.9207,60330.13388,4584878.832,986876.4892,1132856.43,15310473.63,57713.16082,866970.9723,8348.460855,76077.5915,40544.43654,118013.0619,236524.9686,43452.61741,35398.7634,8071.895047,580.1155642,83341.94991,20288.62405,766407.1313,4102.874397,24698.30229,159176.3285,5489408.554,137652.622,1618080.343,367559.2943,43127.50983,1003186.05,459921.6526,1217181.937,12935505.48,1007822.276,125328.749,26734.84687,333765.1745,16291.83097,21850.78591,370561.893,28037.12626,452907.4185,2071.841881,41534.6862,85447.62205,549120.5312,83996.97706,149933.7842,508669.2927,1802.258087,1580.742113,13853.4398,51122.33507,13259.46761,140956.2684,69391.4061,723381.6781,484984.719,595610.7252,3865.772979,261564.0491,308786.9037,58331682.5,7022680.35,15852654.44,9666497.798,95584354.31,3155158.771,22959.058,37986.28131,75148.39273,1475934.607,143718.9493,13745840.37,3106204.031,781966.8148,969963.3492,1876527.878,2250145.565,3585086.143,421294.1374,601997.4361,197662.9264,605661.9966,77461.15144,50272.5544,988486.6666,3032974.126,210919.647,129329.6031,180522.9148,42087.89805,195710.8154,61853.4922,35768.79033,2704.724095,10584.33712,24555.73133,174081.4374,112110.718,34983.35261,60.59242554,185002.9499,5210.270308,279.8068511,3933.132766,825193.6827,5685.165842,50254.00605,49685.02942
AIM084_Plasma_neg_024,Fast_04h,4286577.718,5834491.693,58381.32799,2131064.049,531278.2977,665314.3214,27063877.97,57026677.64,3192223.301,12979816.44,24375497.94,24180832.7,604584.8786,15120418.41,14657127.56,10389537.72,30044073.04,226653.6295,26534792.96,1187217.911,3067839.152,1653783.573,228660.9564,901740.0002,8096355.87,536589.0226,138903.435,286267.8329,5109.737017,1127019.867,35959.41868,51597.69244,1073096.037,1477256.714,1211129.54,927739.2494,43114.84318,4402182.989,28358981.69,426288.0871,127752.1802,220139.1762,123173.7536,83190.38578,174130.2322,1655319.81,350435.7315,548301.0713,10581740.47,52325.30342,572767.1212,7909.134117,84261.57688,20331.59885,98001.49919,280296.8807,45943.36821,38005.00724,8037.999057,627.2612978,667981.6969,11631.34407,523027.5408,6731.988486,15182.30839,199213.3773,7266851.99,144212.7047,718286.6154,329296.1578,65713.43123,438895.0074,294981.2814,759111.7932,8826818.955,612541.4621,79209.90232,20529.73553,259514.4492,16779.24516,18935.98119,331551.6618,31533.68032,600633.8348,2785.638842,2785.638842,2785.638842,1393299.68,122408.8781,388759.2946,665729.4949,6005.697124,1986.939108,54352.81837,171170.5182,27903.45707,128657.3262,35834.25629,489182.6908,373582.6941,446742.7339,9656.447678,379652.4232,427172.2128,53271214.69,6523501.96,13280808.46,10003083.43,62887570.58,2943428.129,19839.80781,46877.10245,98038.93785,1199956.825,176835.099,10108982.84,1777884.093,281640.9592,1089391.418,1654050.024,20843416.96,10586119.08,3275712.876,1046985.138,187268.6101,921623.6903,107751.8285,305651.0844,768050.1382,2713160.794,151409.2788,208235.9113,105141.0526,20167.68165,84721.9313,50373.8006,29561.76003,7521.212581,12653.93069,25245.27688,105924.4283,84274.45956,32375.31608,2421.379425,131600.3107,5155.130897,422.5995918,1020.601552,1143677.549,6657.894697,62592.89711,82724.50369
